tag,condition,rows,accuracy,original_accuracy,accuracy_delta_from_original,active_tokens_mean,reconstruction_l1_mean,fixed_count,lost_count,kept_correct_count,kept_wrong_count
object counting,original,110,0.5909090909090909,0.5909090909090909,0.0,256.0,0.0,0,0,0,0
object counting,eps_003,110,0.5454545454545454,0.5909090909090909,-0.045454545454545525,247.59772727272727,0.04355521042704243,3,8,57,42
object counting,eps_005,110,0.5,0.5909090909090909,-0.09090909090909094,193.92954545454546,0.04713293197141452,5,15,50,40
object counting,eps_007,110,0.4818181818181818,0.5909090909090909,-0.10909090909090913,113.97727272727273,0.05934762117474086,6,18,47,39
collision,original,30,0.7666666666666667,0.7666666666666667,0.0,256.0,0.0,0,0,0,0
collision,eps_003,30,0.6333333333333333,0.7666666666666667,-0.13333333333333341,251.7625,0.04427935328179349,1,5,18,6
collision,eps_005,30,0.7,0.7666666666666667,-0.06666666666666676,195.98333333333332,0.04776536882854998,1,3,20,6
collision,eps_007,30,0.6333333333333333,0.7666666666666667,-0.13333333333333341,114.5625,0.06069523185336342,2,6,17,5
action counting,original,45,0.35555555555555557,0.35555555555555557,0.0,256.0,0.0,0,0,0,0
action counting,eps_003,45,0.28888888888888886,0.35555555555555557,-0.06666666666666671,247.04444444444445,0.04476792114631583,2,5,11,27
action counting,eps_005,45,0.28888888888888886,0.35555555555555557,-0.06666666666666671,190.88333333333333,0.048250162234115934,2,5,11,27
action counting,eps_007,45,0.26666666666666666,0.35555555555555557,-0.0888888888888889,115.19444444444444,0.060188096275346145,2,6,10,27
part recognition,original,29,0.7931034482758621,0.7931034482758621,0.0,256.0,0.0,0,0,0,0
part recognition,eps_003,29,0.7586206896551724,0.7931034482758621,-0.034482758620689724,247.83189655172413,0.03989434949571973,1,2,21,5
part recognition,eps_005,29,0.6551724137931034,0.7931034482758621,-0.13793103448275867,186.29310344827587,0.0450999164905656,1,5,18,5
part recognition,eps_007,29,0.5172413793103449,0.7931034482758621,-0.27586206896551724,103.60344827586206,0.059123939786363267,1,9,14,5
